Payment Date,Payment Time,Receipt Number,Drawer ID,Menu Code,Menu Name,Quantity,Price per unit,Summary Price,Discount By Item,Discount By Item Percent,Discounted Price,Table,Payment Type,Transaction entry method,Remark,Category,Column28,RevisedTime,Menu.RevisedCost,TotalCost,Gross Margin,Payment Date (Year),Payment Date (Quarter),Payment Date (Month Index),Payment Date (Month),EO month,True_Sale
1/02/2026,0/01/1900 17:14,8R0VI,T8V,F02,Khao Pad Krapow Beef egg : egg x 2,1,180,180,0,0,180,35,KBank-Other,Manual Input,,Food,,1/02/2026,49.91164662,49.91164662,130.0883534,2026,Qtr1,2,Feb,46081,Y
1/02/2026,0/01/1900 17:14,8R0VI,T8V,H01,House BK Gin & Mixer Mix : Tonic x 1,2,180,360,0,0,360,35,KBank-Other,Manual Input,,Highball,,1/02/2026,39.1685,78.337,281.663,2026,Qtr1,2,Feb,46081,Y
1/02/2026,0/01/1900 16:32,AQVPG,T8V,F02,Khao Pad Krapow Beef egg : egg x 2,2,180,360,72,0.2,288,36,Cash,Manual Input,à¹„à¸­à¸‹à¹Œ,Food,,1/02/2026,49.91164662,99.82329323,188.1767068,2026,Qtr1,2,Feb,46081,Y
2/02/2026,0/01/1900 1:39,C5YSO,T8V,M03,Tonic,1,30,30,0,0,30,Staff,staff,Manual Input,,Mixer,,1/02/2026,14.375,14.375,15.625,2026,Qtr1,2,Feb,46081,N
2/02/2026,0/01/1900 1:39,C5YSO,T8V,M05,Purra Water,3,30,90,0,0,90,Staff,staff,Manual Input,,Mixer,,1/02/2026,6.6,19.8,70.2,2026,Qtr1,2,Feb,46081,N
4/02/2026,0/01/1900 21:54,HC83O,59G,F02,Khao Pad Krapow Beef egg : egg x 2,1,180,180,0,0,180,36,KBank-Other,Manual Input,,Food,,4/02/2026,49.91164662,49.91164662,130.0883534,2026,Qtr1,2,Feb,46081,Y
4/02/2026,0/01/1900 21:54,HC83O,59G,F08,SOM TUM PLALA,1,80,80,0,0,80,36,KBank-Other,Manual Input,,Food,,4/02/2026,18.18,18.18,61.82,2026,Qtr1,2,Feb,46081,Y
4/02/2026,0/01/1900 21:54,HC83O,59G,P02,Happy Hour Buy2 Get1 evt Happy hour 2-1 : Sui Gin Tonic  x 1,1,0,0,0,0,0,36,KBank-Other,Manual Input,,Happy Hour,,4/02/2026,0,0,0,2026,Qtr1,2,Feb,46081,Y
4/02/2026,0/01/1900 21:54,HC83O,59G,P02,Happy Hour Buy2 Get1 evt Happy hour 2-1 : Beer x 1,1,0,0,0,0,0,36,KBank-Other,Manual Input,,Happy Hour,,4/02/2026,0,0,0,2026,Qtr1,2,Feb,46081,Y
4/02/2026,0/01/1900 21:54,2JIDH,59G,P02,Happy Hour Buy2 Get1 evt Happy hour 2-1 : Beer x 1,1,0,0,0,0,0,35,KBank-Other,Manual Input,,Happy Hour,,4/02/2026,0,0,0,2026,Qtr1,2,Feb,46081,Y
